алфавит,сущ,м,ед
бегать,гл,-,-
бежать,гл,-,-
белый,прил,м,ед
блокнот,сущ,м,ед
блокноты,сущ,-,мн
большие,прил,-,мн
большой,прил,м,ед
бояться,гл,-,-
брат,сущ,м,ед
братья,сущ,-,мн
буква,сущ,ж,ед
буквы,сущ,-,мн
бумага,сущ,ж,ед
бумаги,сущ,-,мн
бутылка,сущ,ж,ед
бутылки,сущ,-,мн
быстрые,прил,-,мн
быстрый,прил,м,ед
веселые,прил,-,мн
весёлый,прил,м,ед
ветер,сущ,м,ед
ветры,сущ,-,мн
вечер,сущ,м,ед
вечера,сущ,-,мн
видеть,гл,-,-
вилка,сущ,ж,ед
вилки,сущ,-,мн
вклад,сущ,м,ед
вклады,сущ,-,мн
вкусный,прил,м,ед
вода,сущ,ж,ед
воды,сущ,-,мн
вопрос,сущ,м,ед
вопросы,сущ,-,мн
высокие,прил,-,мн
высокий,прил,м,ед
газета,сущ,ж,ед
газеты,сущ,-,мн
глубокий,прил,м,ед
говорить,гл,-,-
голодный,прил,м,ед
голубой,прил,м,ед
гора,сущ,ж,ед
город,сущ,м,ед
города,сущ,-,мн
горы,сущ,-,мн
горячий,прил,м,ед
двери,сущ,-,мн
дверь,сущ,ж,ед
двигаться,гл,-,-
дерево,сущ,ср,ед
деревья,сущ,-,мн
диван,сущ,м,ед
диваны,сущ,-,мн
дискуссии,сущ,-,мн
дискуссия,сущ,ж,ед
добрый,прил,м,ед
дожди,сущ,-,мн
дождь,сущ,м,ед
доклад,сущ,м,ед
доклады,сущ,-,мн
дом,сущ,м,ед
дома,сущ,-,мн
дорога,сущ,ж,ед
дороги,сущ,-,мн
друг,сущ,м,ед
друзья,сущ,-,мн
думать,гл,-,-
дышать,гл,-,-
ждать,гл,-,-
жёлтый,прил,м,ед
журнал,сущ,м,ед
журналы,сущ,-,мн
завтрак,сущ,м,ед
завтраки,сущ,-,мн
задание,сущ,ср,ед
задания,сущ,-,мн
задача,сущ,ж,ед
задачи,сущ,-,мн
замки,сущ,-,мн
замок,сущ,м,ед
звезда,сущ,ж,ед
звезды,сущ,-,мн
зеленые,прил,-,мн
зелёный,прил,м,ед
земля,сущ,ж,ед
зима,сущ,ж,ед
зимы,сущ,-,мн
играть,гл,-,-
идти,гл,-,-
исследование,сущ,ср,ед
исследования,сущ,-,мн
камень,сущ,м,ед
камни,сущ,-,мн
карандаш,сущ,м,ед
карандаши,сущ,-,мн
картина,сущ,ж,ед
картины,сущ,-,мн
картон,сущ,м,ед
кисти,сущ,-,мн
кисть,сущ,ж,ед
класс,сущ,м,ед
классы,сущ,-,мн
ключ,сущ,м,ед
ключи,сущ,-,мн
книга,сущ,ж,ед
книги,сущ,-,мн
ковер,сущ,м,ед
ковры,сущ,-,мн
комната,сущ,ж,ед
комнаты,сущ,-,мн
конференции,сущ,-,мн
конференция,сущ,ж,ед
корабли,сущ,-,мн
корабль,сущ,м,ед
коробка,сущ,ж,ед
коробки,сущ,-,мн
короткий,прил,м,ед
кошка,сущ,ж,ед
кошки,сущ,-,мн
красивый,прил,м,ед
краска,сущ,ж,ед
краски,сущ,-,мн
красные,прил,-,мн
красный,прил,м,ед
кровати,сущ,-,мн
кровать,сущ,ж,ед
купаться,гл,-,-
курс,сущ,м,ед
курсы,сущ,-,мн
лампа,сущ,ж,ед
лампочка,сущ,ж,ед
лампочки,сущ,-,мн
лампы,сущ,-,мн
лекарства,сущ,-,мн
лекарство,сущ,ср,ед
лекции,сущ,-,мн
лекция,сущ,ж,ед
лес,сущ,м,ед
леса,сущ,-,мн
лестница,сущ,ж,ед
лестницы,сущ,-,мн
летать,гл,-,-
лист,сущ,м,ед
листья,сущ,-,мн
ложка,сущ,ж,ед
ложки,сущ,-,мн
луна,сущ,ж,ед
луны,сущ,-,мн
любить,гл,-,-
магазин,сущ,м,ед
магазины,сущ,-,мн
маленькие,прил,-,мн
мальчик,сущ,м,ед
мальчики,сущ,-,мн
машина,сущ,ж,ед
машины,сущ,-,мн
мечтать,гл,-,-
мнение,сущ,ср,ед
мнения,сущ,-,мн
молодой,прил,м,ед
молоко,сущ,ср,ед
молчать,гл,-,-
море,сущ,ср,ед
моря,сущ,-,мн
мост,сущ,м,ед
мосты,сущ,-,мн
мудрый,прил,м,ед
мясо,сущ,ср,ед
мяч,сущ,м,ед
мячи,сущ,-,мн
низкий,прил,м,ед
нож,сущ,м,ед
ножи,сущ,-,мн
ночи,сущ,-,мн
ночь,сущ,ж,ед
нырять,гл,-,-
облака,сущ,-,мн
облако,сущ,ср,ед
обсуждение,сущ,ср,ед
обсуждения,сущ,-,мн
огурец,сущ,м,ед
огурцы,сущ,-,мн
озера,сущ,-,мн
озеро,сущ,ср,ед
окна,сущ,-,мн
окно,сущ,ср,ед
ответ,сущ,м,ед
ответы,сущ,-,мн
оценка,сущ,ж,ед
оценки,сущ,-,мн
пакет,сущ,м,ед
пакеты,сущ,-,мн
песни,сущ,-,мн
песня,сущ,ж,ед
петь,гл,-,-
писать,гл,-,-
письма,сущ,-,мн
письмо,сущ,ср,ед
плавать,гл,-,-
плакаты,сущ,-,мн
плакать,гл,-,-
погода,сущ,ж,ед
поезд,сущ,м,ед
поезда,сущ,-,мн
поздний,прил,м,ед
покупать,гл,-,-
пол,сущ,м,ед
полка,сущ,ж,ед
полки,сущ,-,мн
полотенца,сущ,-,мн
полотенце,сущ,ср,ед
полы,сущ,-,мн
помнить,гл,-,-
понимать,гл,-,-
последний,прил,м,ед
праздник,сущ,м,ед
праздники,сущ,-,мн
презентации,сущ,-,мн
презентация,сущ,ж,ед
проект,сущ,м,ед
проекты,сущ,-,мн
прыгать,гл,-,-
птица,сущ,ж,ед
птицы,сущ,-,мн
публикации,сущ,-,мн
публикация,сущ,ж,ед
пустой,прил,м,ед
работа,сущ,ж,ед
работы,сущ,-,мн
радости,сущ,-,мн
радостный,прил,м,ед
радость,сущ,ж,ед
ранний,прил,м,ед
решать,гл,-,-
решение,сущ,ср,ед
решения,сущ,-,мн
рисовать,гл,-,-
рисунок,сущ,м,ед
рисуноки,сущ,-,мн
рука,сущ,ж,ед
руки,сущ,-,мн
ручка,сущ,ж,ед
ручки,сущ,-,мн
рыба,сущ,ж,ед
рыбы,сущ,-,мн
сахар,сущ,м,ед
свеча,сущ,ж,ед
свечи,сущ,-,мн
семинар,сущ,м,ед
семинары,сущ,-,мн
сидеть,гл,-,-
сильные,прил,-,мн
синие,прил,-,мн
сладкий,прил,м,ед
слова,сущ,-,мн
слово,сущ,ср,ед
слышать,гл,-,-
смелый,прил,м,ед
смеяться,гл,-,-
смотреть,гл,-,-
снег,сущ,м,ед
снега,сущ,-,мн
солнце,сущ,ср,ед
спать,гл,-,-
специальности,сущ,-,мн
специальность,сущ,ж,ед
стакан,сущ,м,ед
стаканы,сущ,-,мн
старый,прил,м,ед
статьи,сущ,-,мн
статья,сущ,ж,ед
стол,сущ,м,ед
столы,сущ,-,мн
страница,сущ,ж,ед
страницы,сущ,-,мн
строить,гл,-,-
студент,сущ,м,ед
студенты,сущ,-,мн
стул,сущ,м,ед
стулья,сущ,-,мн
сухой,прил,м,ед
танцевать,гл,-,-
тарелка,сущ,ж,ед
тарелки,сущ,-,мн
твёрдый,прил,м,ед
текст,сущ,м,ед
телевизор,сущ,м,ед
телевизоры,сущ,-,мн
тема,сущ,ж,ед
тёмный,прил,м,ед
темы,сущ,-,мн
тетради,сущ,-,мн
тетрадь,сущ,ж,ед
тихий,прил,м,ед
трудный,прил,м,ед
узкий,прил,м,ед
улица,сущ,ж,ед
улицы,сущ,-,мн
улыбка,сущ,ж,ед
улыбки,сущ,-,мн
умные,прил,-,мн
умный,прил,м,ед
университет,сущ,м,ед
университеты,сущ,-,мн
урок,сущ,м,ед
уроки,сущ,-,мн
услуга,сущ,ж,ед
услуги,сущ,-,мн
утро,сущ,ср,ед
учебник,сущ,м,ед
учебники,сущ,-,мн
ученик,сущ,м,ед
ученики,сущ,-,мн
учитель,сущ,м,ед
учителя,сущ,-,мн
учить,гл,-,-
учиться,гл,-,-
факультет,сущ,м,ед
факультеты,сущ,-,мн
фотографии,сущ,-,мн
фотография,сущ,ж,ед
хлеб,сущ,м,ед
ходить,гл,-,-
холодный,прил,м,ед
хороший,прил,м,ед
цвести,гл,-,-
цветок,сущ,м,ед
цветы,сущ,-,мн
чай,сущ,м,ед
часы,сущ,-,мн
чёрный,прил,м,ед
чистый,прил,м,ед
читать,гл,-,-
широкий,прил,м,ед
шкаф,сущ,м,ед
школа,сущ,ж,ед
школы,сущ,-,мн
экзамен,сущ,м,ед
экзамены,сущ,-,мн
яблоки,сущ,-,мн
яблоко,сущ,ср,ед
яйца,сущ,-,мн
яйцо,сущ,ср,ед
яркий,прил,м,ед
